1,Libram of Gainful Conjuration (M),8000,40000
2,Libram of Ineffable Damnation (M),8000,40000
3,Libram of Silver Magic (M),8000,40000
4,Lyre of Building,5000,30000
5,Manual of Bodily Health,5000,50000
6,Manual of Goinful Exercise,5000,50000
7,"Manual of Golems (C, M)",3000,30000
8,Manual of Puissant Skill at Arms (F),8000,40000
9,Manual of Quickness of Action,5000,50000
10,Manual of Stealthy Pilfering (T),8000,40000
11,Mattock of the Titans (F),3500,7000
12,Maul of the Titans,4000,12000
13-15,Medallion of ESP,"1,000/3,000","10,000/30,000"
16-17,Medallion of Thought Projection,***,1000
18,Mirror of Life Tropping (M),2500,25000
19,Mirror of Mental Prowess,5000,50000
20,Mirror of Opposition,***,2000
21-23,Necklace of Adaptation,1000,10000
24-27,Neckloce of Missiles,50*,200*
28-33,Neckloce of Prayer Beads (C),"500""","3,000"""
34-35,Necklace of Strangulation,***,1000
36-38,"Net of Entrapment (C, F, T)",1000,7500
39-42,"Net of Snaring (C, F, T)",1000,6000
43-44,Nolzurs' Marvelous Pigments,500*',3000***
45-46,Pearl of Power (M),200**,2000**
47-48,Peorl of Wisdom (C),500,5000
49-50,Periapt of Foul Rotting,***,1000
51 -53,Periapt of Health,1000,10000
54-60,Periapt of Proof Against Poison,1500,12500
61 -64,Periapt of Wound Closure,1000,10000
65-70,Phylactery of Faithfulness (C),1000,7500
71-74,Phyloctery of long Years (C),3000,25000
75-76,Phylactery of Monstrous Attention (C),***,2000
77-84,Pipes of the Sewers,1750,8500
85,Portable Hole,5000,50000
86-100,Quaal's Feather Token,500/1000,"2,000/7,000"
